party,positive_weight,negative_weight,edge_count,positive_count,negative_count,neutral_count,leader_count
Janata Dal (United),127.27361100912094,428.4525020480156,855,194,628,33,12
Rashtriya Janata Dal,95.58076218515635,315.79873050451283,625,148,459,18,28
Bharatiya Janata Party,110.88775627315044,240.02935881465675,534,170,348,16,29
Indian National Congress,43.7322331815958,184.74112356305122,338,67,263,8,10
Congress,34.043927513062954,107.12379985004664,215,52,153,10,2
Unknown,6.380980245769024,51.561604048311715,92,10,76,6,43
Jan Shakti Janata Dal,3.8198626041412354,25.476143412292004,43,6,37,0,2
Independent,1.2485077381134033,6.00793744623661,11,2,9,0,1
Samajwadi Party,0.0,3.9206622019410133,6,0,6,0,1
JD(U),0.0,1.3453962057828903,2,0,2,0,2
Jan Adhikar Party,0.0,0.7141948342323303,1,0,1,0,1
Aam Aadmi Party,0.0,0.6648982167243958,1,0,1,0,1
